==22152== NVPROF is profiling process 22152, command: ./stencil 20 2048
Time: 25436.16us
==22152== Profiling application: ./stencil 20 2048
==22152== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream        Unified Memory  Virtual Address  Name
619.62ms  1.3120us                    -               -         -         -         -  32.000MB   2e+04GB/s     Managed           -  Tesla V100-PCIE         1         7                     -                -  [CUDA memset]
619.64ms  267.52us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     1   0x2ab1ad5cb000  [Unified Memory GPU page faults]
619.90ms  164.83us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                    13   0x2ab1addc8000  [Unified Memory GPU page faults]
620.07ms  149.02us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                    15   0x2ab1ae5d0000  [Unified Memory GPU page faults]
620.22ms  159.14us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                    13   0x2ab1ae5c8000  [Unified Memory GPU page faults]
620.38ms  217.82us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                    11   0x2ab1ad600000  [Unified Memory GPU page faults]
620.60ms  156.06us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     1   0x2ab1ad641000  [Unified Memory GPU page faults]
620.75ms  156.32us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     5   0x2ab1ade40000  [Unified Memory GPU page faults]
620.91ms  101.89us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     3   0x2ab1ad681000  [Unified Memory GPU page faults]
621.01ms  64.704us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     5   0x2ab1ade80000  [Unified Memory GPU page faults]
621.08ms  87.712us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     8   0x2ab1ae680000  [Unified Memory GPU page faults]
621.17ms  157.66us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                    23   0x2ab1ad700000  [Unified Memory GPU page faults]
621.33ms  89.536us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     2   0x2ab1aef00000  [Unified Memory GPU page faults]
621.42ms  172.96us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     1   0x2ab1ad800000  [Unified Memory GPU page faults]
621.60ms  281.34us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     1   0x2ab1ad822000  [Unified Memory GPU page faults]
621.88ms  109.70us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     3   0x2ab1ad880000  [Unified Memory GPU page faults]
621.99ms  69.472us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     1   0x2ab1ae080000  [Unified Memory GPU page faults]
622.06ms  57.888us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     3   0x2ab1ae880000  [Unified Memory GPU page faults]
622.11ms  63.424us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     4   0x2ab1af080000  [Unified Memory GPU page faults]
622.18ms  132.61us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                    11   0x2ab1ad900000  [Unified Memory GPU page faults]
622.32ms  120.64us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     4   0x2ab1ae900000  [Unified Memory GPU page faults]
622.44ms  241.18us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     4   0x2ab1ada00000  [Unified Memory GPU page faults]
622.68ms  266.18us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     1   0x2ab1ada42000  [Unified Memory GPU page faults]
622.95ms  76.192us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     2   0x2ab1ada81000  [Unified Memory GPU page faults]
623.02ms  121.54us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     1   0x2ab1ae283000  [Unified Memory GPU page faults]
623.15ms  62.944us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     5   0x2ab1aea80000  [Unified Memory GPU page faults]
623.21ms  76.224us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     1   0x2ab1af280000  [Unified Memory GPU page faults]
623.29ms  129.18us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                    10   0x2ab1adb00000  [Unified Memory GPU page faults]
623.42ms  117.66us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     1   0x2ab1aeb00000  [Unified Memory GPU page faults]
623.54ms  107.68us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     1   0x2ab1adc00000  [Unified Memory GPU page faults]
623.54ms  227.26us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                    11   0x2ab1adc00000  [Unified Memory GPU page faults]
623.77ms  69.152us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     2   0x2ab1adc40000  [Unified Memory GPU page faults]
