==10721== NVPROF is profiling process 10721, command: ./stencil 20 2048
Time: 1188013.08us
==10721== Profiling application: ./stencil 20 2048
==10721== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream        Unified Memory  Virtual Address  Name
1.79141s  3.4482ms           (8200 1 1)       (128 1 1)        28        0B        0B  Tesla V100-PCIE         3        51                     -                -  ApplyDoubleStencil_105_gpu(void*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, void*, void*, void*, void (*) (void*), void*) [463]
1.79143s  296.86us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    12   0x2aef517f4000  [Unified Memory GPU page faults]
1.79173s  117.73us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    21   0x2aef51800000  [Unified Memory GPU page faults]
1.79185s  106.40us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    23   0x2aef51840000  [Unified Memory GPU page faults]
1.79196s  194.85us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     4   0x2aef51900000  [Unified Memory GPU page faults]
1.79214s  3.8315ms           (8169 1 1)       (128 1 1)        28        0B        0B  Tesla V100-PCIE         2        50                     -                -  ApplyDoubleStencil_105_gpu(void*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, void*, void*, void*, void (*) (void*), void*) [466]
1.79215s  159.87us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     8   0x2aef597f8000  [Unified Memory GPU page faults]
1.79215s  224.51us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     3   0x2aef51006000  [Unified Memory GPU page faults]
1.79231s  84.160us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     3   0x2aef59841000  [Unified Memory GPU page faults]
1.79238s  201.28us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    20   0x2aef50ff8000  [Unified Memory GPU page faults]
1.79240s  126.62us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    13   0x2aef59910000  [Unified Memory GPU page faults]
1.79253s  166.24us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    19   0x2aef51a00000  [Unified Memory GPU page faults]
1.79258s  106.91us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    24   0x2aef51040000  [Unified Memory GPU page faults]
1.79269s  213.63us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    11   0x2aef51100000  [Unified Memory GPU page faults]
1.79269s  159.84us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    30   0x2aef51a40000  [Unified Memory GPU page faults]
1.79285s  146.98us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     4   0x2aef59a01000  [Unified Memory GPU page faults]
1.79290s  204.35us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     4   0x2aef58ffc000  [Unified Memory GPU page faults]
1.79297s  3.5402ms           (8169 1 1)       (128 1 1)        28        0B        0B  Tesla V100-PCIE         4        52                     -                -  ApplyDoubleStencil_105_gpu(void*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, void*, void*, void*, void (*) (void*), void*) [469]
1.79299s  329.86us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    15   0x2aef50800000  [Unified Memory GPU page faults]
1.79300s  127.87us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     9   0x2aef51b00000  [Unified Memory GPU page faults]
1.79311s  72.736us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     6   0x2aef59040000  [Unified Memory GPU page faults]
1.79314s  103.10us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     8   0x2aef59b00000  [Unified Memory GPU page faults]
1.79318s  96.160us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    18   0x2aef59100000  [Unified Memory GPU page faults]
1.79324s  161.76us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     4   0x2aef51c00000  [Unified Memory GPU page faults]
1.79328s  140.61us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    16   0x2aef51200000  [Unified Memory GPU page faults]
1.79332s  149.60us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    27   0x2aef507fc000  [Unified Memory GPU page faults]
1.79340s  172.93us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    13   0x2aef51c80000  [Unified Memory GPU page faults]
1.79342s  107.49us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    20   0x2aef51240000  [Unified Memory GPU page faults]
1.79347s  84.928us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    10   0x2aef50840000  [Unified Memory GPU page faults]
1.79353s  151.04us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     7   0x2aef59200000  [Unified Memory GPU page faults]
1.79356s  87.328us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     4   0x2aef50882000  [Unified Memory GPU page faults]
1.79358s  92.608us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    18   0x2aef59c20000  [Unified Memory GPU page faults]
1.79365s  196.67us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    18   0x2aef50900000  [Unified Memory GPU page faults]
1.79367s  202.94us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     4   0x2aef51d00000  [Unified Memory GPU page faults]
1.79368s  207.46us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     4   0x2aef51300000  [Unified Memory GPU page faults]
1.79384s  78.528us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    23   0x2aef58810000  [Unified Memory GPU page faults]
1.79388s  111.84us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    11   0x2aef59d00000  [Unified Memory GPU page faults]
1.79389s  122.46us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     7   0x2aef59280000  [Unified Memory GPU page faults]
1.79392s  84.896us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     5   0x2aef58840000  [Unified Memory GPU page faults]
1.79545s  104.38us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     1   0x2aef58c49000  [Unified Memory GPU page faults]
1.79545s  393.54us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    29   0x2aef51700000  [Unified Memory GPU page faults]
1.79555s  117.41us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    13   0x2aef58d00000  [Unified Memory GPU page faults]
1.79567s  211.20us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     6   0x2aef50e00000  [Unified Memory GPU page faults]
1.79579s  7.4240us                    -               -         -         -         -  Tesla V100-PCIE         -         -           64.000000KB   0x2aef517f0000  [Unified Memory Memcpy DtoD]
1.79585s  129.73us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    22   0x2aef59700000  [Unified Memory GPU page faults]
1.79589s  211.30us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     6   0x2aef50e80000  [Unified Memory GPU page faults]
1.79594s  6.0480us                    -               -         -         -         -  Tesla V100-PCIE         -         -           64.000000KB   0x2aef597f0000  [Unified Memory Memcpy DtoD]
1.79610s  112.96us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     5   0x2aef58e10000  [Unified Memory GPU page faults]
1.79622s  184.61us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     7   0x2aef50f00000  [Unified Memory GPU page faults]
1.79631s  5.9840us                    -               -         -         -         -  Tesla V100-PCIE         -         -           64.000000KB   0x2aef50ff0000  [Unified Memory Memcpy DtoH]
1.79633s  8.0960us                    -               -         -         -         -  Tesla V100-PCIE         -         -           64.000000KB   0x2aef50ff0000  [Unified Memory Memcpy HtoD]
1.79640s  120.90us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    14   0x2aef58f00000  [Unified Memory GPU page faults]
1.79648s  6.1440us                    -               -         -         -         -  Tesla V100-PCIE         -         -           64.000000KB   0x2aef58ff0000  [Unified Memory Memcpy DtoH]
1.79651s  7.7440us                    -               -         -         -         -  Tesla V100-PCIE         -         -           64.000000KB   0x2aef58ff0000  [Unified Memory Memcpy HtoD]
