==10543== NVPROF is profiling process 10543, command: ./vector_add 20 200000000
Sum: 2961548.81us
Avg: 148077.44us
==10543== Profiling application: ./vector_add 20 200000000
==10543== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream        Unified Memory  Virtual Address  Name
1.76603s  169.10ms          (65535 1 1)       (128 1 1)        16        0B        0B  Tesla V100-PCIE         4        50                     -                -  main_80_gpu [517]
1.76605s  309.06us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     7   0x2ba45faf0000  [Unified Memory GPU page faults]
1.76636s  182.53us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     3   0x2ba4c3af0000  [Unified Memory GPU page faults]
1.76654s  99.072us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     6   0x2ba45fb50000  [Unified Memory GPU page faults]
1.76664s  106.43us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     4   0x2ba45fb80000  [Unified Memory GPU page faults]
1.76675s  347.17us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     1   0x2ba45fc01000  [Unified Memory GPU page faults]
1.76710s  212.83us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     2   0x2ba45fc10000  [Unified Memory GPU page faults]
1.76731s  119.78us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     4   0x2ba463b11000  [Unified Memory GPU page faults]
1.76743s  184.96us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     1   0x2ba463b84000  [Unified Memory GPU page faults]
1.76756s  166.61ms          (65535 1 1)       (128 1 1)        16        0B        0B  Tesla V100-PCIE         2        51                     -                -  main_80_gpu [520]
1.76758s  457.70us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     6   0x2ba447d78000  [Unified Memory GPU page faults]
1.76762s  456.45us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    10   0x2ba463c01000  [Unified Memory GPU page faults]
1.76803s  188.67us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     2   0x2ba4abd78000  [Unified Memory GPU page faults]
1.76808s  133.25us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    10   0x2ba463c20000  [Unified Memory GPU page faults]
1.76821s  311.81us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     2   0x2ba467b44000  [Unified Memory GPU page faults]
1.76822s  59.744us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     6   0x2ba447dc0000  [Unified Memory GPU page faults]
1.76828s  210.43us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    18   0x2ba447e00000  [Unified Memory GPU page faults]
1.76849s  220.74us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     2   0x2ba447e40000  [Unified Memory GPU page faults]
1.76853s  296.90us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     2   0x2ba467c10000  [Unified Memory GPU page faults]
1.76862s  186.26ms          (65535 1 1)       (128 1 1)        16        0B        0B  Tesla V100-PCIE         3        52                     -                -  main_80_gpu [523]
1.76864s  681.86us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     4   0x2ba477868000  [Unified Memory GPU page faults]
1.76872s  463.58us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     4   0x2ba4abe42000  [Unified Memory GPU page faults]
1.76883s  526.78us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     4   0x2ba46bb00000  [Unified Memory GPU page faults]
1.76918s  1.6722ms                    -               -         -         -         -  Tesla V100-PCIE         -         -                     2   0x2ba447ea4000  [Unified Memory GPU page faults]
1.76932s  1.3250ms                    -               -         -         -         -  Tesla V100-PCIE         -         -                     4   0x2ba4db868000  [Unified Memory GPU page faults]
1.76935s  1.4367ms                    -               -         -         -         -  Tesla V100-PCIE         -         -                     8   0x2ba46baef000  [Unified Memory GPU page faults]
1.77065s  277.31us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     6   0x2ba4778d0000  [Unified Memory GPU page faults]
1.77092s  205.41us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    17   0x2ba477900000  [Unified Memory GPU page faults]
1.77112s  168.90ms          (65535 1 1)       (128 1 1)        16        0B        0B  Tesla V100-PCIE         1        53                     -                -  main_80_gpu [526]
1.77113s  241.18us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    12   0x2ba4db900000  [Unified Memory GPU page faults]
1.77137s  154.56us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     1   0x2ba47b86b000  [Unified Memory GPU page faults]
1.77153s  261.70us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     2   0x2ba47b882000  [Unified Memory GPU page faults]
1.77179s  231.14us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     4   0x2ba47b8c0000  [Unified Memory GPU page faults]
1.77203s  437.98us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     2   0x2ba47b92d000  [Unified Memory GPU page faults]
1.77246s  401.02us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     2   0x2ba47f868000  [Unified Memory GPU page faults]
1.77287s  427.36us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     2   0x2ba47f915000  [Unified Memory GPU page faults]
1.77330s  196.03us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     2   0x2ba4838c3000  [Unified Memory GPU page faults]
1.77350s  460.06us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     2   0x2ba47f981000  [Unified Memory GPU page faults]
1.78166s  313.02us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     1   0x2ba50833e000  [Unified Memory GPU page faults]
1.78190s  481.70us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     2   0x2ba454200000  [Unified Memory GPU page faults]
1.78192s  482.53us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     4   0x2ba468020000  [Unified Memory GPU page faults]
1.78198s  339.36us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    11   0x2ba430410000  [Unified Memory GPU page faults]
1.78232s  418.24us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     4   0x2ba430440000  [Unified Memory GPU page faults]
1.78239s  461.31us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     2   0x2ba448286000  [Unified Memory GPU page faults]
1.78240s  145.86us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     4   0x2ba464081000  [Unified Memory GPU page faults]
1.78255s  456.32us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     2   0x2ba46c04e000  [Unified Memory GPU page faults]
1.78274s  510.91us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    14   0x2ba430480000  [Unified Memory GPU page faults]
1.78285s  338.85us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     2   0x2ba458200000  [Unified Memory GPU page faults]
1.78301s  27.488us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     2   0x2ba46c065000  [Unified Memory GPU page faults]
1.78302s  530.40us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     8   0x2ba460101000  [Unified Memory GPU page faults]
1.78320s  316.45us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     1   0x2ba44c289000  [Unified Memory GPU page faults]
1.78351s  276.32us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     2   0x2ba45c201000  [Unified Memory GPU page faults]
1.78355s  558.56us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     2   0x2ba464100000  [Unified Memory GPU page faults]
1.78379s  193.41us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     2   0x2ba450285000  [Unified Memory GPU page faults]
1.78399s  210.69us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     2   0x2ba45c258000  [Unified Memory GPU page faults]
1.78412s  84.032us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     2   0x2ba474027000  [Unified Memory GPU page faults]
1.78412s  431.04us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     7   0x2ba477d01000  [Unified Memory GPU page faults]
1.78420s  335.74us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     2   0x2ba448304000  [Unified Memory GPU page faults]
1.78420s  363.78us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     2   0x2ba468108000  [Unified Memory GPU page faults]
1.78454s  569.15us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     2   0x2ba44c300000  [Unified Memory GPU page faults]
