==13260== NVPROF is profiling process 13260, command: ./stencil 20 2048
Time: 30488169.91us
==13260== Profiling application: ./stencil 20 2048
==13260== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream        Unified Memory  Virtual Address  Name
656.07ms         -                    -               -         -         -         -                -         -         -           PC 0x404cc8   0x2b62b2000000  [Unified Memory CPU page faults]
656.34ms         -                    -               -         -         -         -                -         -         -           PC 0x404cc8   0x2b62b2000000  [Unified Memory CPU page faults]
658.57ms  9.4949ms          (32705 1 1)       (128 1 1)        42        0B        0B  Tesla V100-PCIE         1        17                     -                -  ApplyDoubleStencil_102_gpu(gecko_generator<double>, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, void*, void*, void*, void (*) (void*), void*) [437]
658.58ms  232.64us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    80   0x2b62b2000000  [Unified Memory GPU page faults]
658.78ms  2.6560us                    -               -         -         -         -  Tesla V100-PCIE         -         -            4.000000KB   0x2b62b2000000  [Unified Memory Memcpy HtoD]
658.81ms  150.34us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    18   0x2b62b8004000  [Unified Memory GPU page faults]
658.96ms  101.70us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    12   0x2b62b8010000  [Unified Memory GPU page faults]
659.06ms  74.208us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    16   0x2b62b8080000  [Unified Memory GPU page faults]
659.14ms  109.15us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     1   0x2b62ba020000  [Unified Memory GPU page faults]
659.25ms  87.776us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    12   0x2b62ba018000  [Unified Memory GPU page faults]
659.34ms  61.120us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    13   0x2b62ba080000  [Unified Memory GPU page faults]
659.40ms  127.58us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    24   0x2b62b8100000  [Unified Memory GPU page faults]
659.53ms  56.480us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     5   0x2b62ba100000  [Unified Memory GPU page faults]
659.59ms  116.10us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     9   0x2b62b8200000  [Unified Memory GPU page faults]
659.71ms  83.552us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    22   0x2b62b8220000  [Unified Memory GPU page faults]
