==22179== NVPROF is profiling process 22179, command: ./stencil 20 2048
Time: 26638.98us
==22179== Profiling application: ./stencil 20 2048
==22179== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream        Unified Memory  Virtual Address  Name
611.79ms  1.2480us                    -               -         -         -         -  32.000MB   3e+04GB/s     Managed           -  Tesla V100-PCIE         1         7                     -                -  [CUDA memset]
611.80ms  322.53us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     1   0x2b7a0b5c7000  [Unified Memory GPU page faults]
612.13ms  149.82us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                    13   0x2b7a0bdc8000  [Unified Memory GPU page faults]
612.28ms  139.62us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     1   0x2b7a0c5cc000  [Unified Memory GPU page faults]
612.42ms  149.18us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                    13   0x2b7a0cdc8000  [Unified Memory GPU page faults]
612.57ms  228.42us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                    11   0x2b7a0b600000  [Unified Memory GPU page faults]
612.80ms  211.78us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     3   0x2b7a0be20000  [Unified Memory GPU page faults]
613.01ms  56.608us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     1   0x2b7a0c620000  [Unified Memory GPU page faults]
613.07ms  113.44us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     5   0x2b7a0b680000  [Unified Memory GPU page faults]
613.18ms  93.056us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     8   0x2b7a0be80000  [Unified Memory GPU page faults]
613.28ms  61.632us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     2   0x2b7a0ce80000  [Unified Memory GPU page faults]
613.34ms  123.65us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     3   0x2b7a0b700000  [Unified Memory GPU page faults]
613.47ms  91.904us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     2   0x2b7a0c700000  [Unified Memory GPU page faults]
613.56ms  65.888us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     2   0x2b7a0cf00000  [Unified Memory GPU page faults]
613.63ms  138.62us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     6   0x2b7a0b800000  [Unified Memory GPU page faults]
613.77ms  128.77us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     2   0x2b7a0c000000  [Unified Memory GPU page faults]
613.90ms  238.66us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     1   0x2b7a0b844000  [Unified Memory GPU page faults]
614.14ms  68.096us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     1   0x2b7a0b881000  [Unified Memory GPU page faults]
614.20ms  138.72us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     1   0x2b7a0c081000  [Unified Memory GPU page faults]
614.34ms  67.360us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     1   0x2b7a0c880000  [Unified Memory GPU page faults]
614.41ms  76.416us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     1   0x2b7a0d080000  [Unified Memory GPU page faults]
614.49ms  203.26us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     2   0x2b7a0b900000  [Unified Memory GPU page faults]
614.70ms  103.78us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     3   0x2b7a0d100000  [Unified Memory GPU page faults]
614.80ms  193.22us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     2   0x2b7a0ba00000  [Unified Memory GPU page faults]
615.00ms  250.02us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     1   0x2b7a0ba40000  [Unified Memory GPU page faults]
615.25ms  77.280us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     1   0x2b7a0c240000  [Unified Memory GPU page faults]
615.33ms  67.744us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     3   0x2b7a0ba81000  [Unified Memory GPU page faults]
615.40ms  103.97us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     5   0x2b7a0c280000  [Unified Memory GPU page faults]
