==10620== NVPROF is profiling process 10620, command: ./stencil 20 2048
Time: 18481.02us
==10620== Profiling application: ./stencil 20 2048
==10620== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream        Unified Memory  Virtual Address  Name
614.94ms  9.5757ms          (32705 1 1)       (128 1 1)        28        0B        0B  Tesla V100-PCIE         1        17                     -                -  ApplyDoubleStencil_105_gpu(void*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, void*, void*, void*, void (*) (void*), void*) [433]
614.94ms  275.62us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    23   0x2af27c010000  [Unified Memory GPU page faults]
616.20ms  80.736us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    16   0x2af284210000  [Unified Memory GPU page faults]
616.28ms  113.28us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    20   0x2af27c300000  [Unified Memory GPU page faults]
616.39ms  73.024us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     3   0x2af284300000  [Unified Memory GPU page faults]
616.47ms  145.31us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     6   0x2af27c400000  [Unified Memory GPU page faults]
616.61ms  152.86us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     9   0x2af27c480000  [Unified Memory GPU page faults]
616.77ms  81.280us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     6   0x2af284420000  [Unified Memory GPU page faults]
616.85ms  118.85us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     5   0x2af27c500000  [Unified Memory GPU page faults]
616.97ms  77.088us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    12   0x2af284500000  [Unified Memory GPU page faults]
617.05ms  145.54us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    24   0x2af27c600000  [Unified Memory GPU page faults]
617.20ms  155.30us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     9   0x2af27c680000  [Unified Memory GPU page faults]
617.35ms  88.640us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    10   0x2af284600000  [Unified Memory GPU page faults]
617.45ms  144.58us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    24   0x2af27c700000  [Unified Memory GPU page faults]
617.59ms  78.208us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     9   0x2af284700000  [Unified Memory GPU page faults]
617.67ms  147.26us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    23   0x2af27c800000  [Unified Memory GPU page faults]
617.82ms  154.05us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    15   0x2af27c880000  [Unified Memory GPU page faults]
617.98ms  79.264us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     5   0x2af284820000  [Unified Memory GPU page faults]
618.06ms  107.10us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    12   0x2af27c900000  [Unified Memory GPU page faults]
618.17ms  77.952us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     6   0x2af284900000  [Unified Memory GPU page faults]
618.25ms  149.44us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     3   0x2af27ca00000  [Unified Memory GPU page faults]
618.40ms  143.84us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     9   0x2af27ca80000  [Unified Memory GPU page faults]
618.54ms  83.712us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     3   0x2af284a10000  [Unified Memory GPU page faults]
618.63ms  111.17us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     6   0x2af27cb00000  [Unified Memory GPU page faults]
618.74ms  76.096us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    12   0x2af284b00000  [Unified Memory GPU page faults]
618.82ms  147.90us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    27   0x2af27cc00000  [Unified Memory GPU page faults]
618.97ms  141.95us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    18   0x2af27cc80000  [Unified Memory GPU page faults]
619.11ms  87.232us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     3   0x2af284c10000  [Unified Memory GPU page faults]
619.20ms  113.41us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     3   0x2af27cd00000  [Unified Memory GPU page faults]
624.51ms  90.655us          (32705 1 1)       (128 1 1)        16        0B        0B  Tesla V100-PCIE         1        17                     -                -  ApplyDoubleStencil_159_gpu(void*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, void*, void*, void*, void (*) (void*), void*) [436]
626.74ms  94.016us          (32705 1 1)       (128 1 1)        28        0B        0B  Tesla V100-PCIE         1        17                     -                -  ApplyDoubleStencil_105_gpu(void*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, void*, void*, void*, void (*) (void*), void*) [440]
626.83ms  89.823us          (32705 1 1)       (128 1 1)        16        0B        0B  Tesla V100-PCIE         1        17                     -                -  ApplyDoubleStencil_159_gpu(void*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, void*, void*, void*, void (*) (void*), void*) [443]
627.00ms  94.527us          (32705 1 1)       (128 1 1)        28        0B        0B  Tesla V100-PCIE         1        17                     -                -  ApplyDoubleStencil_105_gpu(void*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, void*, void*, void*, void (*) (void*), void*) [447]
627.10ms  89.824us          (32705 1 1)       (128 1 1)        16        0B        0B  Tesla V100-PCIE         1        17                     -                -  ApplyDoubleStencil_159_gpu(void*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, void*, void*, void*, void (*) (void*), void*) [450]
627.23ms  95.168us          (32705 1 1)       (128 1 1)        28        0B        0B  Tesla V100-PCIE         1        17                     -                -  ApplyDoubleStencil_105_gpu(void*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, void*, void*, void*, void (*) (void*), void*) [454]
627.33ms  90.431us          (32705 1 1)       (128 1 1)        16        0B        0B  Tesla V100-PCIE         1        17                     -                -  ApplyDoubleStencil_159_gpu(void*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, void*, void*, void*, void (*) (void*), void*) [457]
627.47ms  95.103us          (32705 1 1)       (128 1 1)        28        0B        0B  Tesla V100-PCIE         1        17                     -                -  ApplyDoubleStencil_105_gpu(void*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, void*, void*, void*, void (*) (void*), void*) [461]
627.56ms  89.535us          (32705 1 1)       (128 1 1)        16        0B        0B  Tesla V100-PCIE         1        17                     -                -  ApplyDoubleStencil_159_gpu(void*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, void*, void*, void*, void (*) (void*), void*) [464]
627.71ms  94.335us          (32705 1 1)       (128 1 1)        28        0B        0B  Tesla V100-PCIE         1        17                     -                -  ApplyDoubleStencil_105_gpu(void*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, void*, void*, void*, void (*) (void*), void*) [468]
627.80ms  89.471us          (32705 1 1)       (128 1 1)        16        0B        0B  Tesla V100-PCIE         1        17                     -                -  ApplyDoubleStencil_159_gpu(void*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, void*, void*, void*, void (*) (void*), void*) [471]
627.95ms  93.887us          (32705 1 1)       (128 1 1)        28        0B        0B  Tesla V100-PCIE         1        17                     -                -  ApplyDoubleStencil_105_gpu(void*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, void*, void*, void*, void (*) (void*), void*) [475]
628.04ms  89.471us          (32705 1 1)       (128 1 1)        16        0B        0B  Tesla V100-PCIE         1        17                     -                -  ApplyDoubleStencil_159_gpu(void*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, void*, void*, void*, void (*) (void*), void*) [478]
