==13337== NVPROF is profiling process 13337, command: ./stencil 20 2048
Time: 15277003.05us
==13337== Profiling application: ./stencil 20 2048
==13337== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream        Unified Memory  Virtual Address  Name
637.83ms         -                    -               -         -         -         -                -         -         -           PC 0x404cc8   0x2b094c000000  [Unified Memory CPU page faults]
1.04489s         -                    -               -         -         -         -                -         -         -           PC 0x404cc8   0x2b0973000000  [Unified Memory CPU page faults]
1.05155s  5.4389ms          (16353 1 1)       (128 1 1)        42        0B        0B  Tesla V100-PCIE         1        28                     -                -  ApplyDoubleStencil_102_gpu(gecko_generator<double>, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, void*, void*, void*, void (*) (void*), void*) [459]
1.05157s  195.62us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    80   0x2b094c000000  [Unified Memory GPU page faults]
1.05158s  5.5394ms          (16353 1 1)       (128 1 1)        42        0B        0B  Tesla V100-PCIE         2        29                     -                -  ApplyDoubleStencil_102_gpu(gecko_generator<double>, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, void*, void*, void*, void (*) (void*), void*) [462]
1.05159s  226.66us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    80   0x2b094c000000  [Unified Memory GPU page faults]
1.05174s  2.6880us                    -               -         -         -         -  Tesla V100-PCIE         -         -            4.000000KB   0x2b094c000000  [Unified Memory Memcpy HtoD]
1.05176s  150.69us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     6   0x2b094c204000  [Unified Memory GPU page faults]
1.05179s  2.4640us                    -               -         -         -         -  Tesla V100-PCIE         -         -            4.000000KB   0x2b094c000000  [Unified Memory Memcpy DtoD]
1.05182s  159.62us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    12   0x2b0972000000  [Unified Memory GPU page faults]
1.05192s  88.192us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     8   0x2b094c221000  [Unified Memory GPU page faults]
1.05198s  96.480us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     5   0x2b0972010000  [Unified Memory GPU page faults]
1.05201s  83.264us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    15   0x2b094c280000  [Unified Memory GPU page faults]
1.05207s  83.808us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     9   0x2b0972040000  [Unified Memory GPU page faults]
1.05209s  33.696us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    80   0x2b0973000000  [Unified Memory GPU page faults]
1.05211s  2.6880us                    -               -         -         -         -  Tesla V100-PCIE         -         -            4.000000KB   0x2b0973000000  [Unified Memory Memcpy HtoD]
1.05213s  163.30us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     4   0x2b0974004000  [Unified Memory GPU page faults]
1.05216s  77.632us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    16   0x2b0972080000  [Unified Memory GPU page faults]
